date,index,close_gt_sma50,close_gt_sma200
2015-03-05,24193.039063,36.17021276595745,61.70212765957447
2015-03-06,24164.0,31.914893617021278,61.70212765957447
2020-12-08,26304.560547,65.38461538461539,55.769230769230774
2015-03-09,24123.050781,31.914893617021278,59.57446808510638
2015-03-10,23896.980469,25.53191489361702,57.44680851063831
2015-03-11,23717.970703,19.148936170212764,53.19148936170214
2015-03-12,23797.960938,17.02127659574468,53.19148936170214
2015-03-13,23823.210938,12.76595744680851,51.06382978723404
2015-03-16,23949.550781,23.40425531914893,48.93617021276596
2015-03-17,23901.490234,25.53191489361702,48.93617021276596
2014-03-10,22264.929688,25.53191489361702,29.78723404255319
2014-03-11,22269.609375,31.914893617021278,36.17021276595745
2014-03-12,21901.949219,27.659574468085108,27.659574468085108
2014-03-13,21756.080078,29.78723404255319,27.659574468085108
2014-03-14,21539.490234,25.53191489361702,25.53191489361702
2014-03-17,21473.949219,17.02127659574468,23.40425531914893
2014-03-18,21583.5,27.659574468085108,25.53191489361702
2014-03-19,21568.689453,25.53191489361702,29.78723404255319
2014-03-20,21182.160156,17.02127659574468,25.53191489361702
2014-03-21,21436.699219,21.27659574468085,31.914893617021278
2014-03-24,21846.449219,25.53191489361702,31.914893617021278
2014-03-25,21732.320313,29.78723404255319,27.659574468085108
2014-03-26,21887.75,38.29787234042553,34.04255319148936
2014-03-27,21834.449219,42.5531914893617,31.914893617021278
2014-03-28,22065.529297,53.19148936170214,40.42553191489361
2014-03-31,22151.060547,55.319148936170215,44.680851063829785
2014-04-01,22448.539063,68.08510638297872,46.80851063829788
2014-04-02,22523.939453,76.59574468085106,46.80851063829788
2014-04-03,22565.080078,76.59574468085106,55.319148936170215
2014-04-04,22510.080078,74.46808510638297,53.19148936170214
2014-04-07,22377.150391,72.3404255319149,53.19148936170214
2014-04-08,22596.970703,76.59574468085106,51.06382978723404
2014-04-09,22843.169922,85.1063829787234,53.19148936170214
2014-04-10,23186.960938,91.48936170212765,59.57446808510638
2014-04-11,23003.640625,87.23404255319151,59.57446808510638
2014-04-14,23038.800781,87.23404255319151,63.829787234042556
2014-04-15,22671.259766,74.46808510638297,55.319148936170215
2014-04-16,22696.009766,74.46808510638297,51.06382978723404
2014-04-17,22760.240234,74.46808510638297,51.06382978723404
2014-04-22,22730.679688,70.21276595744679,51.06382978723404
2014-04-23,22509.640625,65.95744680851064,44.680851063829785
2014-04-24,22562.800781,68.08510638297872,48.93617021276596
2014-04-25,22223.529297,59.57446808510638,36.17021276595745
2014-04-28,22132.529297,55.319148936170215,40.42553191489361
2014-04-29,22453.890625,68.08510638297872,51.06382978723404
2014-04-30,22133.970703,59.57446808510638,46.80851063829788
2014-05-02,22260.669922,59.57446808510638,48.93617021276596
2014-05-05,21976.330078,51.06382978723404,44.680851063829785
2014-05-07,21746.259766,38.29787234042553,40.42553191489361
2014-05-08,21837.119141,42.5531914893617,40.42553191489361
2014-05-09,21862.990234,44.680851063829785,40.42553191489361
2014-05-12,22261.609375,61.70212765957447,46.80851063829788
2014-05-13,22352.380859,65.95744680851064,48.93617021276596
2014-05-14,22582.769531,76.59574468085106,51.06382978723404
2014-05-15,22730.859375,74.46808510638297,53.19148936170214
2014-05-16,22712.910156,68.08510638297872,48.93617021276596
2014-05-19,22704.5,65.95744680851064,48.93617021276596
2014-05-20,22834.679688,72.3404255319149,48.93617021276596
2014-05-21,22836.519531,70.21276595744679,48.93617021276596
2014-05-22,22953.759766,70.21276595744679,48.93617021276596
2014-05-23,22965.859375,70.21276595744679,48.93617021276596
2014-05-26,22963.179688,74.46808510638297,48.93617021276596
2014-05-27,22944.300781,72.3404255319149,48.93617021276596
2014-05-28,23080.029297,78.72340425531915,51.06382978723404
2014-05-29,23010.140625,74.46808510638297,48.93617021276596
2014-05-30,23081.650391,68.08510638297872,51.06382978723404
2014-06-03,23291.039063,76.59574468085106,55.319148936170215
2014-06-04,23151.710938,70.21276595744679,53.19148936170214
2014-06-05,23109.660156,68.08510638297872,51.06382978723404
2014-06-06,22951.0,70.21276595744679,51.06382978723404
2014-06-09,23117.470703,68.08510638297872,55.319148936170215
2014-06-10,23315.740234,74.46808510638297,61.70212765957447
2014-06-11,23257.289063,70.21276595744679,59.57446808510638
2014-06-12,23175.019531,68.08510638297872,51.06382978723404
2014-06-13,23319.169922,72.3404255319149,55.319148936170215
2014-06-16,23300.669922,74.46808510638297,51.06382978723404
2014-06-17,23203.589844,74.46808510638297,53.19148936170214
2014-06-18,23181.720703,74.46808510638297,55.319148936170215
2014-06-19,23167.730469,63.829787234042556,51.06382978723404
2014-06-20,23194.060547,68.08510638297872,51.06382978723404
2014-06-23,22804.810547,40.42553191489361,40.42553191489361
2014-06-24,22880.640625,48.93617021276596,42.5531914893617
2014-06-25,22866.699219,55.319148936170215,42.5531914893617
2014-06-26,23197.830078,70.21276595744679,53.19148936170214
2014-06-27,23221.519531,70.21276595744679,53.19148936170214
2014-06-30,23190.720703,70.21276595744679,51.06382978723404
2014-07-02,23549.619141,87.23404255319151,61.70212765957447
2014-07-03,23531.439453,85.1063829787234,55.319148936170215
2014-07-04,23546.359375,87.23404255319151,55.319148936170215
2014-07-07,23540.919922,89.36170212765957,55.319148936170215
2014-07-08,23541.380859,87.23404255319151,53.19148936170214
2014-07-09,23176.070313,76.59574468085106,48.93617021276596
2014-07-10,23238.990234,70.21276595744679,42.5531914893617
